,log2FoldChange,padj,baseMean,t,P.Value,B
213291_s_at,-0.497176266,0.00032255,9.388904,-4.116556213,0.000102812,0.27027432
242774_at,0.597080244,0.000323125,2.782048429,4.11601572,0.000103007,0.268462713
207394_at,-0.533710093,0.000323701,3.177182857,-4.115456779,0.000103208,0.266589428
1553909_x_at,-0.414548579,0.000323701,6.110492286,-4.11544638,0.000103212,0.266554575
1560926_at,-0.83296122,0.000323911,8.244222714,-4.115230765,0.00010329,0.265831985
204269_at,0.821842666,0.000324555,5.190616714,4.114631362,0.000103506,0.263823333
203100_s_at,0.629109193,0.000324611,7.492501,4.114552288,0.000103535,0.263558362
205803_s_at,-1.103590345,0.000324732,4.105851714,-4.114415434,0.000103584,0.263099782
229573_at,-0.638913465,0.000325226,5.482074429,-4.113950606,0.000103753,0.261542273
236431_at,0.496281808,0.000325526,4.751209,4.113656303,0.000103859,0.260556202
212464_s_at,-0.861790816,0.000325526,14.04379543,-4.113626356,0.00010387,0.260455867
233899_x_at,1.282683213,0.00032567,6.439126571,4.113469572,0.000103927,0.259930576
229251_s_at,0.436105677,0.000325878,4.246626429,4.113256847,0.000104004,0.259217883
225708_at,-0.619061598,0.000325937,8.750990571,-4.11317462,0.000104034,0.258942403
222019_at,0.275136156,0.000327079,2.710770143,4.112143478,0.000104409,0.255488117
201157_s_at,0.539491236,0.000327631,8.664726,4.111630491,0.000104597,0.253769829
202203_s_at,-1.451766846,0.000327741,5.026271143,-4.111503878,0.000104643,0.25334575
242027_at,-0.634671514,0.000329085,6.093329,-4.110299473,0.000105084,0.249312095
219974_x_at,1.006248368,0.000329085,8.346171286,4.110271615,0.000105094,0.249218807
1559739_at,-1.358559125,0.000329297,8.191932857,-4.110057289,0.000105173,0.248501088
211958_at,-1.521047006,0.000329364,5.658204143,-4.109968987,0.000105205,0.248205397
228106_at,-0.697375795,0.000330539,8.785476,-4.108918789,0.000105591,0.24468896
226560_at,2.001995955,0.000330913,3.507947286,4.108564648,0.000105722,0.243503294
203793_x_at,-0.782819251,0.000331028,5.591029857,-4.108435672,0.00010577,0.243071496
37145_at,1.809360193,0.000331882,4.146233286,4.10766689,0.000106054,0.240497875
235005_at,-0.581396585,0.000331886,7.974627714,-4.107633854,0.000106066,0.240387288
201421_s_at,0.493633103,0.000332051,7.613244857,4.107461532,0.00010613,0.239810454
201954_at,0.604367124,0.000332493,10.11411129,4.1070497,0.000106283,0.238431944
217309_s_at,0.51668984,0.000332774,3.080064,4.10677774,0.000106383,0.23752167
210947_s_at,-0.410939605,0.000332805,6.990251286,-4.106720988,0.000106405,0.237331721
210833_at,-0.909056165,0.000333198,3.262219714,-4.106352605,0.000106541,0.236098778
243605_at,-0.940731707,0.000334594,3.10986,-4.105124589,0.000106999,0.231989213
210386_s_at,0.545539134,0.000335289,8.921323857,4.104500059,0.000107232,0.22989951
210002_at,1.42790894,0.000335326,7.310785286,4.104438029,0.000107255,0.229691966
235819_at,0.56884947,0.000335502,6.359682571,4.104258179,0.000107323,0.22909022
220547_s_at,-0.707775862,0.000335572,10.54692143,-4.104167776,0.000107357,0.228787754
216166_at,-1.063996981,0.000335954,2.436667286,-4.103811768,0.00010749,0.227596685
235492_at,0.805393625,0.000336291,4.244494,4.103482897,0.000107613,0.226496457
219576_at,0.445684584,0.000336291,3.015829,4.103464824,0.00010762,0.226435997
224601_at,0.740533759,0.00033716,8.931720857,4.102694085,0.00010791,0.223857739
200870_at,0.629136754,0.000337254,12.19407714,4.102584204,0.000107951,0.223490191
220905_at,-0.379025955,0.000337635,4.409119429,-4.102230786,0.000108084,0.222308065
227272_at,1.291811278,0.000337679,5.525251286,4.102163845,0.00010811,0.222084165
209290_s_at,1.242686493,0.00033781,11.41468371,4.102022379,0.000108163,0.221611006
219982_s_at,-0.416803802,0.000338578,6.886611714,-4.101340823,0.00010842,0.219331557
235847_at,-0.406790892,0.000338946,9.490198143,-4.100999544,0.000108549,0.218190245
241448_at,0.694189369,0.000339034,7.074776286,4.100894936,0.000108589,0.217840425
210389_x_at,0.685008133,0.000339051,7.778180429,4.100851073,0.000108606,0.217693741
221637_s_at,0.49845254,0.000341071,9.611520429,4.09911732,0.000109264,0.211896715
235072_s_at,-0.663381329,0.000341909,9.610424286,-4.098383007,0.000109544,0.209441901
233124_s_at,0.977612986,0.000342141,9.015790857,4.09813863,0.000109638,0.208625004
201973_s_at,0.429018503,0.000342141,12.72078571,4.098128789,0.000109641,0.20859211
211452_x_at,-0.329952397,0.000342153,12.47556286,-4.098088527,0.000109657,0.208457527
225867_at,0.924646737,0.000342205,5.656843286,4.098014924,0.000109685,0.208211495
208112_x_at,0.397684912,0.000342585,8.341406286,4.097666672,0.000109818,0.207047446
243140_at,-1.509484525,0.000342721,4.831107143,-4.097522663,0.000109873,0.206566104
